═══ Round 000b-qwen: 精确感知 + 原版prompt（基线） ═══
  system: '你是一个生存游戏中的角色'
  感知：精确（方向+步数+能量数字+生存提示）
  30 agents | 20x20 | 模型: Qwen3.6-Plus-DogFooding
  最大 50 ticks | 并发 10

  第  0天 | 存活30 | 食物 59 | 消息0 | 攻击0 | 62.2s
  第  1天 | 存活30 | 食物 55 | 消息0 | 攻击0 | 63.4s
  第  2天 | 存活30 | 食物 50 | 消息0 | 攻击0 | 66.8s
  第  3天 | 存活30 | 食物 49 | 消息0 | 攻击0 | 69.2s
  第  4天 | 存活30 | 食物 47 | 消息0 | 攻击0 | 63.5s
  第  5天 | 存活30 | 食物 43 | 消息0 | 攻击0 | 61.8s
  第  6天 | 存活30 | 食物 42 | 消息0 | 攻击0 | 57.4s
  第  7天 | 存活30 | 食物 42 | 消息0 | 攻击0 | 58.0s
  第  8天 | 存活30 | 食物 43 | 消息0 | 攻击0 | 64.0s
  第  9天 | 存活30 | 食物 42 | 消息0 | 攻击0 | 63.3s
  第 10天 | 存活30 | 食物 42 | 消息0 | 攻击0 | 70.8s
    ┌─ 快照: 最强者 [陈舟 E228] [孙宁远 E228] [周深海 E198] 
  第 11天 | 存活30 | 食物 41 | 消息0 | 攻击0 | 70.7s
  第 12天 | 存活30 | 食物 41 | 消息0 | 攻击0 | 66.7s
  第 13天 | 存活30 | 食物 43 | 消息0 | 攻击0 | 62.8s
  第 14天 | 存活30 | 食物 44 | 消息0 | 攻击0 | 73.6s
  第 15天 | 存活30 | 食物 41 | 消息0 | 攻击0 | 66.6s
  第 16天 | 存活30 | 食物 42 | 消息0 | 攻击0 | 62.1s
  第 17天 | 存活30 | 食物 45 | 消息0 | 攻击0 | 58.2s
  第 18天 | 存活30 | 食物 46 | 消息0 | 攻击0 | 52.1s
